Name,Gender,Religion,BloodGroup,DateOfBirth,JoiningDate,Qualification,MobileNo,PresentAddress,PermanentAddress,Email,Password
Dolores Wooffinden,Female,Buddhism,AB-,2022-06-18,2023-04-29,Bsc.,840-508-7955,0 Barnett Circle,448 Dryden Alley,dwooffinden0@typepad.com,0h7aRdMNls
Legra Rawstorn,Female,Christianity,AB+,2022-11-19,2023-04-29,HND,952-941-8989,22 Stephen Junction,600 Coleman Terrace,lrawstorn1@guardian.co.uk,7YKzXEVMwU
Val Wightman,Male,Hinduism,O-,2023-01-11,2023-04-29,PhD,234-155-4653,423 Dapin Junction,7 Basil Court,vwightman2@shutterfly.com,BybaZl3
Tripp Barclay,Male,Hinduism,AB+,2022-12-24,2023-04-29,HND,654-535-9309,87818 Thierer Drive,944 Pierstorff Circle,tbarclay3@theglobeandmail.com,sP9jcDM94h
Geoffrey Stickland,Male,Hinduism,O-,2022-06-28,2023-04-29,Msc.,750-253-5987,50878 Hauk Place,05 John Wall Way,gstickland4@ocn.ne.jp,LVwWnnliscPL
Bruce Baselio,Male,Buddhism,AB+,2023-02-28,2023-04-29,PhD,621-722-9150,5623 Memorial Road,3 Cascade Terrace,bbaselio5@hibu.com,2DJyPe
Ferne Seery,Female,Islam,AB+,2022-12-31,2023-04-29,Msc.,648-544-7675,52166 Lindbergh Center,9 Duke Way,fseery6@baidu.com,9NVtzD
Tallia Stollmeier,Female,Hinduism,B+,2022-09-12,2023-04-29,PhD,292-905-3356,7 Lakeland Drive,08 High Crossing Drive,tstollmeier7@ebay.co.uk,rF8Urr1REQkS
Nora Espinola,Female,Christianity,O+,2023-04-23,2023-04-29,HND,616-295-2321,737 Oak Lane,3 Hanover Pass,nespinola8@state.gov,tDoL9I
Glenn Van der Merwe,Female,Hinduism,AB+,2022-05-22,2023-04-29,PhD,278-605-5598,0207 Sunnyside Hill,05 Canary Lane,gvan9@sitemeter.com,1lH48G0y
Sebastiano Axcell,Male,Hinduism,AB-,2022-06-06,2023-04-29,HND,481-618-8152,032 South Hill,272 Bartillon Center,saxcella@washington.edu,IzScAsq
Pernell Buckell,Male,Buddhism,O+,2022-06-18,2023-04-29,Msc.,460-471-5868,6659 Pepper Wood Court,7 Dunning Trail,pbuckellb@cdbaby.com,MKV47jz7H
Padgett Manilo,Bigender,Christianity,O-,2023-03-31,2023-04-29,HND,967-425-2010,8 Anzinger Avenue,736 Myrtle Avenue,pmaniloc@taobao.com,8jlBji
Fancie Stocks,Female,Christianity,O+,2022-12-21,2023-04-29,SSCE,108-738-7280,774 Badeau Street,738 Union Center,fstocksd@samsung.com,w2b2bAmdmliI
