Name,Gender,Religion,BloodGroup,DateOfBirth,JoiningDate,Qualification,MobileNo,PresentAddress,PermanentAddress,Email,Password
Wiley Klimkowski,Male,Judaism,B-,2022-07-28,2023-04-29,SSCE,790-381-6489,29889 Onsgard Lane,350 Westend Park,wklimkowski0@harvard.edu,71EKL4z6
Eldon Agney,Male,Judaism,AB+,2022-08-06,2023-04-29,SSCE,876-923-9022,3 Katie Road,2466 American Place,eagney1@com.com,brhF9Tav
Layney Olligan,Female,Judaism,O-,2022-09-19,2023-04-29,SSCE,775-509-5119,097 Chive Plaza,9222 Stuart Way,lolligan2@arizona.edu,B2tDKlGU
Chrisse Hargate,Male,Islam,O-,2022-12-27,2023-04-29,OND,727-693-4547,3484 Marcy Alley,2755 Canary Point,chargate3@rediff.com,4yDyBbmelu
Willa Scarr,Female,Judaism,B-,2022-05-08,2023-04-29,NCE,653-731-4179,88040 Troy Way,826 Hazelcrest Circle,wscarr4@sakura.ne.jp,NkXjoOWv
Karalee Burnsall,Female,Buddhism,AB+,2023-01-19,2023-04-29,PhD,891-420-3524,2 Huxley Drive,4 Mayfield Terrace,kburnsall5@msu.edu,e3rnoGfkv2
Saxe Anthoin,Male,Islam,B-,2022-07-20,2023-04-29,OND,543-769-1520,8 Victoria Crossing,954 Westport Point,santhoin6@vistaprint.com,fcd2btL
Janeczka Surplice,Female,Hinduism,B+,2023-04-02,2023-04-29,SSCE,740-415-8036,25655 Manitowish Center,40527 Gale Park,jsurplice7@dyndns.org,YJkFRGvc4
Olenka Merrell,Female,Hinduism,A-,2022-12-26,2023-04-29,Bsc.,525-873-9260,9 Pleasure Terrace,360 Rieder Place,omerrell8@cornell.edu,VstQbXuMEuMN
Nollie Steanyng,Female,Hinduism,O-,2022-09-30,2023-04-29,Msc.,779-911-8932,37918 Stephen Trail,665 Luster Terrace,nsteanyng9@microsoft.com,UxFAMuC8ubw
