FirstName,LastName,BloodGroup,Gender,Birthday,MotherTongue,Religion,Caste,Phone,City,State,PresentAddress,PermanentAddress,CategoryID,Roll,AdmissionDate,StudentEmail,StudentPassword,GuardianName,GuardianRelation,FatherName,MotherName,GuardianOccupation,GuardianMobileNo,GuardianAddress,GuardianEmail,GuardianPassword
Devora,Hamil,AB+,Female,2005-11-23,Korean,Buddhism,airplane,533-846-2385,Laško,,432 Mayer Terrace,10089 Crest Line Court,1,517,2008-06-19,dhamil0@gnu.org,0EckdF,Devora Hamil,Sibling,Devora Hamil,Devora Hamil,Engineer II,218-629-8559,760 Express Pass,dhamil0@epa.gov,bm2Umt5
Dian,Birdwhistle,A+,Polygender,1955-03-27,Somali,Christianity,truck,204-499-7797,Taha Man Zu,,1 Browning Drive,2 Sherman Pass,3,220,1964-10-14,dbirdwhistle1@domainmarket.com,HvlNpDN2mt,Dian Birdwhistle,Sibling,Dian Birdwhistle,Dian Birdwhistle,Budget/Accounting Analyst IV,738-161-4082,24 Vernon Pass,dbirdwhistle1@intel.com,QlQuzU
Lethia,Ponde,A+,Female,1953-07-11,Bengali,Sikhism,truck,274-395-0496,Dukuh,,296 Hanson Lane,07707 Heffernan Drive,1,256,1949-12-11,lponde2@github.com,uOm3UHD1ki,Lethia Ponde,Sibling,Lethia Ponde,Lethia Ponde,VP Sales,683-843-1129,5745 Tennyson Parkway,lponde2@toplist.cz,HGQZIYJxJ
Andres,Bloodworth,O+,Male,1901-06-09,Norwegian,Sikhism,airplane,761-558-3175,Jesenice,,0219 Kropf Lane,389 Dennis Drive,3,165,1943-11-02,abloodworth3@toplist.cz,PA4EIkpl62,Andres Bloodworth,Grandparent,Andres Bloodworth,Andres Bloodworth,Systems Administrator I,439-706-0140,3724 Oak Circle,abloodworth3@tamu.edu,PsSxcfmGCi
Rorie,Symmers,O+,Female,2018-02-11,Mongolian,Buddhism,car,997-800-8954,Tianya,,3 Main Plaza,249 Gateway Road,2,759,1938-01-03,rsymmers4@wisc.edu,5FsUgCnQp,Rorie Symmers,Father,Rorie Symmers,Rorie Symmers,Nuclear Power Engineer,277-930-2299,988 Lukken Pass,rsymmers4@engadget.com,C1CsYYOvY
Roxana,Paulsson,O-,Female,1917-12-22,Croatian,Buddhism,train,143-969-9429,Al Manqaf,,6 Scott Park,6442 Londonderry Parkway,2,448,1988-06-26,rpaulsson5@shutterfly.com,0lgoTo,Roxana Paulsson,Father,Roxana Paulsson,Roxana Paulsson,Account Executive,732-534-1024,35717 Hanover Circle,rpaulsson5@tmall.com,vxBkPuyLmV6
Inigo,Coopland,O-,Male,1904-07-22,Macedonian,Judaism,train,560-186-4266,Golovinskiy,,570 Scott Trail,11237 Vera Center,3,764,1928-01-03,icoopland6@paypal.com,AhH5WqWgtYu,Inigo Coopland,Father,Inigo Coopland,Inigo Coopland,Quality Control Specialist,787-135-7084,0811 Prairieview Way,icoopland6@nydailynews.com,G0UXVpi2ZI
Vern,Klempke,A+,Male,1948-02-23,Bislama,Sikhism,airplane,968-832-1400,Kéfalos,,68437 Kensington Lane,4 Melby Street,3,432,1980-08-30,vklempke7@shinystat.com,2sjGgFE3,Vern Klempke,Mother,Vern Klempke,Vern Klempke,Analog Circuit Design manager,135-856-3777,8391 Dahle Junction,vklempke7@economist.com,CQNEFTCpXAH
Camel,Kyme,A+,Female,1937-02-19,Bislama,Hinduism,airplane,489-785-2684,La Huerta,Jalisco,94 Dawn Pass,25254 Old Gate Drive,1,306,1932-03-21,ckyme8@miibeian.gov.cn,BTRVg92x,Camel Kyme,Guardian,Camel Kyme,Camel Kyme,Chemical Engineer,536-994-3430,6871 Florence Road,ckyme8@upenn.edu,rZvGFYBu9
Siouxie,Neligan,A-,Female,1934-06-10,English,Islam,train,500-255-0116,Czarnocin,,6 Old Gate Plaza,62 Farwell Plaza,2,436,1944-06-01,sneligan9@mashable.com,UW0juN4nV3e,Siouxie Neligan,Father,Siouxie Neligan,Siouxie Neligan,Budget/Accounting Analyst IV,258-484-2390,14878 Algoma Way,sneligan9@va.gov,zlp2Q6tA
Urbano,Worley,O-,Bigender,1912-12-31,Catalan,Buddhism,bus,928-924-9372,Weiyuankou,,02 Prentice Court,53446 Fisk Park,2,655,1982-12-26,uworleya@tripadvisor.com,zJVzs9XQ,Urbano Worley,Mother,Urbano Worley,Urbano Worley,Administrative Assistant III,856-675-8770,11993 Hoard Circle,uworleya@zdnet.com,7Rm65r
Astrid,Sheers,AB+,Female,1976-11-14,Hebrew,Islam,bike,644-115-8697,Torreira,Aveiro,63031 Bultman Circle,1065 Loomis Terrace,1,525,1967-03-05,asheersb@vkontakte.ru,B5Lc9YrFXgNb,Astrid Sheers,Guardian,Astrid Sheers,Astrid Sheers,Social Worker,500-564-3286,1170 Donald Place,asheersb@ifeng.com,2TGW9FDyABe
Yale,McCoid,B+,Male,2017-01-13,German,Judaism,airplane,449-909-2310,Puerto Princesa,,7746 Russell Street,89269 Declaration Trail,1,399,1999-07-28,ymccoidc@skype.com,CKScdWyyc92j,Yale McCoid,Mother,Yale McCoid,Yale McCoid,Nurse,864-233-9154,747 Erie Road,ymccoidc@buzzfeed.com,CYW3SM75
Godfree,Chislett,AB+,Male,1942-06-17,Tetum,Buddhism,truck,111-642-7794,Łubowo,,656 Sachs Lane,9293 Waywood Avenue,1,569,1927-07-05,gchislettd@ftc.gov,QJQ0MZmCyj,Godfree Chislett,Grandparent,Godfree Chislett,Godfree Chislett,Senior Financial Analyst,647-739-0581,659 Orin Lane,gchislettd@icio.us,OBkYNv5e
Candi,Tackle,B+,Female,1920-12-22,Icelandic,Hinduism,bike,494-738-7345,Orange,Provence-Alpes-Côte d'Azur,9 Toban Crossing,032 Parkside Circle,1,599,1995-03-04,ctacklee@is.gd,a8jvsYxg75W,Candi Tackle,Guardian,Candi Tackle,Candi Tackle,Nurse Practicioner,789-898-3705,6661 Roxbury Drive,ctacklee@free.fr,GAJGmq
Kahaleel,Estable,A-,Male,1953-01-28,Czech,Judaism,train,359-471-4273,San Fernando,,4 Barnett Hill,2267 Warner Parkway,1,480,1986-01-19,kestablef@scribd.com,VqLVDt0ho,Kahaleel Estable,Guardian,Kahaleel Estable,Kahaleel Estable,Product Engineer,533-737-7289,363 Esch Place,kestablef@indiatimes.com,kaEXLd
Shannan,Michelle,O-,Male,1981-08-26,Macedonian,Christianity,airplane,699-784-9895,Ždánice,,867 Brown Pass,49 Meadow Ridge Way,3,101,2008-02-27,smichelleg@shinystat.com,L2bVRISfNAc,Shannan Michelle,Mother,Shannan Michelle,Shannan Michelle,Librarian,581-153-1854,1 Summit Center,smichelleg@qq.com,tBBmiLd
Arda,Hise,AB-,Female,1905-04-14,Malagasy,Judaism,train,819-451-5217,Fenais da Ajuda,Ilha de São Miguel,1373 Texas Hill,6 Golf Trail,1,363,1975-11-13,ahiseh@businesswire.com,xZVZNn4,Arda Hise,Grandparent,Arda Hise,Arda Hise,Occupational Therapist,163-936-7450,20375 Maywood Junction,ahiseh@devhub.com,zxNQsa
Doralin,Haskur,O-,Female,1905-08-27,Afrikaans,Hinduism,car,155-761-9245,Cashel,,84199 Muir Way,66012 Sloan Junction,1,24,1945-07-27,dhaskuri@unesco.org,FeUrCbjz7OYB,Doralin Haskur,Mother,Doralin Haskur,Doralin Haskur,Human Resources Manager,438-537-4756,26877 Glacier Hill Alley,dhaskuri@istockphoto.com,eJdWcBA
Briana,Donnachie,AB-,Female,1955-05-24,Tsonga,Christianity,airplane,233-535-4893,Chengui,,5 Rockefeller Avenue,1 Rigney Circle,1,742,1968-06-11,bdonnachiej@mac.com,21cTODq,Briana Donnachie,Sibling,Briana Donnachie,Briana Donnachie,Administrative Officer,648-982-5376,141 Maple Plaza,bdonnachiej@plala.or.jp,J9c1AJ
