FirstName,LastName,BloodGroup,Gender,Birthday,MotherTongue,Religion,Caste,Phone,City,State,PresentAddress,PermanentAddress,CategoryID,Roll,AdmissionDate,StudentEmail,StudentPassword,GuardianName,GuardianRelation,FatherName,MotherName,GuardianOccupation,GuardianMobileNo,GuardianAddress,GuardianEmail,GuardianPassword
Brandie,Mattholie,B+,Female,2000-03-20,Burmese,Sikhism,bike,668-243-6817,Huagu,,9683 Towne Place,9326 Prairie Rose Alley,2,563,1936-01-27,bmattholie0@icq.com,VJavqvFcp,Brandie Mattholie,Sibling,Brandie Mattholie,Brandie Mattholie,VP Sales,972-206-3523,040 Melvin Way,bmattholie0@irs.gov,Vxhj4j4lkm
Natalee,Konmann,O+,Female,2009-01-12,Gagauz,Judaism,bike,627-561-0283,Valjevo,,373 Oneill Park,071 Ruskin Way,3,903,1958-05-09,nkonmann1@edublogs.org,ANMpsEpaf0lD,Natalee Konmann,Mother,Natalee Konmann,Natalee Konmann,Accountant II,342-792-3389,5471 Buell Point,nkonmann1@pinterest.com,2VUKFkM
Luisa,Abberley,A+,Female,1994-06-16,Indonesian,Christianity,car,722-754-4414,Bader,,05555 Hudson Street,53155 Del Sol Junction,1,315,2012-07-31,labberley2@ycombinator.com,r8VFS6X6AZ8,Luisa Abberley,Sibling,Luisa Abberley,Luisa Abberley,Cost Accountant,811-814-9453,334 Tennyson Crossing,labberley2@unblog.fr,sK8PyYCBT3z
Gilberte,Tooting,A+,Female,2020-12-12,Malay,Sikhism,bus,359-516-1894,Chimboy Shahri,,0 Kennedy Plaza,674 Elka Junction,1,411,1918-10-24,gtooting3@bloglovin.com,yxern3y5kqR,Gilberte Tooting,Grandparent,Gilberte Tooting,Gilberte Tooting,Software Consultant,729-499-4537,7340 South Junction,gtooting3@nymag.com,cptOdwIo
Brigida,Bodker,B-,Female,2009-09-10,Kyrgyz,Sikhism,car,464-560-0017,Loujiadian,,9 Stang Lane,58 Toban Lane,3,126,1954-04-16,bbodker4@pinterest.com,lJe2UWbban4,Brigida Bodker,Guardian,Brigida Bodker,Brigida Bodker,Administrative Officer,541-774-5313,74 Springs Alley,bbodker4@ameblo.jp,D1Sojj1e8
Rufus,Dowdeswell,A-,Male,1937-12-25,Tajik,Islam,bike,876-130-6315,Conception Bay South,Newfoundland and Labrador,9787 Steensland Junction,538 Reinke Lane,3,593,1935-06-27,rdowdeswell5@fastcompany.com,cwgWkb,Rufus Dowdeswell,Sibling,Rufus Dowdeswell,Rufus Dowdeswell,VP Accounting,429-283-7476,6 Schiller Avenue,rdowdeswell5@blogtalkradio.com,4jeqXKsA0RPa
Marlee,Walkinshaw,AB+,Polygender,1992-11-25,Mongolian,Islam,train,486-798-5571,Yangqing,,130 Wayridge Street,44172 Longview Parkway,3,617,1940-04-17,mwalkinshaw6@ox.ac.uk,tlSNPNJIma,Marlee Walkinshaw,Father,Marlee Walkinshaw,Marlee Walkinshaw,Accounting Assistant III,636-479-7053,479 Kingsford Hill,mwalkinshaw6@answers.com,cAJWrP
Elvin,Vanetti,AB+,Non-binary,1943-02-19,Burmese,Hinduism,airplane,831-167-8967,Fengshan,,2 Utah Parkway,84 Loftsgordon Drive,3,654,1983-04-08,evanetti7@tamu.edu,4CgIjTbLca,Elvin Vanetti,Father,Elvin Vanetti,Elvin Vanetti,Web Developer II,148-173-9865,0 Eagan Point,evanetti7@mozilla.org,n9PtyTl
Lea,Kneeland,A+,Female,2022-05-08,Korean,Hinduism,airplane,914-731-0087,Araci,,41 Pennsylvania Pass,83 Sutteridge Drive,2,748,1944-09-20,lkneeland8@nih.gov,xmBGv7AAmmb3,Lea Kneeland,Mother,Lea Kneeland,Lea Kneeland,Quality Engineer,465-897-1582,9565 Esker Center,lkneeland8@facebook.com,OdwM16IXfj4c
Eyde,Outerbridge,B-,Female,1963-05-16,Khmer,Buddhism,car,441-787-9851,Сарај,,62741 Sundown Place,926 Scofield Point,3,801,1913-12-02,eouterbridge9@harvard.edu,4XX3uPx,Eyde Outerbridge,Mother,Eyde Outerbridge,Eyde Outerbridge,Geological Engineer,659-773-8462,8381 Farwell Way,eouterbridge9@yahoo.co.jp,TIUSEW
Marinna,Josham,O-,Agender,1992-05-01,Lao,Islam,bike,918-499-3900,Cacocum,,38 Roth Court,288 Jenifer Point,3,499,1937-10-11,mjoshama@salon.com,Mxp39dmq5NhA,Marinna Josham,Father,Marinna Josham,Marinna Josham,Help Desk Operator,352-301-0873,58 Clove Way,mjoshama@histats.com,T8CPyPS8
Moselle,Reiners,AB+,Female,1921-08-10,Spanish,Christianity,car,852-588-1930,Anyu,,87588 Walton Drive,483 Clove Point,1,802,1948-09-14,mreinersb@ifeng.com,Mcqy83ETrmJ,Moselle Reiners,Father,Moselle Reiners,Moselle Reiners,Marketing Assistant,294-250-8806,9 Muir Park,mreinersb@prweb.com,LBRUH7
Izaak,Matonin,A-,Male,2008-10-17,Indonesian,Buddhism,truck,863-585-9604,Tabanan,,5654 Lunder Point,8 Fairview Road,3,620,1909-07-13,imatoninc@lulu.com,Z7e96BMU0t,Izaak Matonin,Father,Izaak Matonin,Izaak Matonin,Automation Specialist II,210-790-8196,0 Ludington Crossing,imatoninc@netlog.com,g543DyI6L
Leigh,Sommerled,O+,Male,1918-07-29,Estonian,Islam,truck,998-912-0837,Gaojian,,5916 Elgar Pass,20 Melody Trail,2,399,1904-02-17,lsommerledd@histats.com,eDTLzq,Leigh Sommerled,Grandparent,Leigh Sommerled,Leigh Sommerled,Environmental Specialist,445-996-7899,1 Pawling Center,lsommerledd@ebay.co.uk,AaVpnaeGW
Fredek,Trime,O+,Male,1913-09-27,Tamil,Christianity,train,284-994-3669,Morelos,San Luis Potosi,05 Dottie Crossing,585 Fair Oaks Point,3,730,2005-02-24,ftrimee@opensource.org,zCPLUpjPNeI1,Fredek Trime,Father,Fredek Trime,Fredek Trime,Professor,353-652-8730,16229 Transport Center,ftrimee@pbs.org,FhEoXZfBy
Cammy,Ovitz,O+,Male,1924-03-03,Kashmiri,Sikhism,bike,443-276-0823,Zeya,,409 Anhalt Avenue,63973 Eggendart Terrace,1,400,1967-09-23,covitzf@webmd.com,mtbvgXY4G,Cammy Ovitz,Father,Cammy Ovitz,Cammy Ovitz,Help Desk Technician,500-530-3549,09 Pennsylvania Trail,covitzf@wp.com,01wpjJ
Hollis,Connerry,A-,Male,2010-10-31,Assamese,Buddhism,train,845-715-6069,Pitangueiras,,2 Waywood Hill,36 Fisk Park,3,756,1942-08-14,hconnerryg@wsj.com,LSxjllyupD,Hollis Connerry,Mother,Hollis Connerry,Hollis Connerry,Design Engineer,754-478-3982,6 Derek Crossing,hconnerryg@topsy.com,mPzWsQdpwWdQ
Chen,Pillington,A+,Male,1911-06-05,Gagauz,Buddhism,truck,694-456-8930,Roissy Charles-de-Gaulle,Île-de-France,66 Marquette Alley,8 Jana Parkway,1,745,2021-12-10,cpillingtonh@mashable.com,5yOeLwOsuv,Chen Pillington,Sibling,Chen Pillington,Chen Pillington,Environmental Tech,335-138-2560,9276 Manitowish Parkway,cpillingtonh@salon.com,rk79xDF5S7f
Judy,McColley,B+,Female,1922-06-12,Dhivehi,Buddhism,car,555-535-8483,Pančevo,,55 Corben Avenue,686 Sage Hill,3,378,1949-12-09,jmccolleyi@mlb.com,ikpDhQ,Judy McColley,Grandparent,Judy McColley,Judy McColley,Clinical Specialist,677-382-4898,03685 Pankratz Plaza,jmccolleyi@discovery.com,hnvAOPd10sT7
Mason,Eldritt,O+,Male,1958-02-03,Tsonga,Sikhism,car,436-445-5435,Huayuan,,459 Rigney Crossing,7 Commercial Place,1,777,2000-10-02,meldrittj@plala.or.jp,9uYP17u92,Mason Eldritt,Grandparent,Mason Eldritt,Mason Eldritt,Programmer Analyst II,433-105-0730,592 Oxford Way,meldrittj@wikispaces.com,0ZVK9HDROemu
