FirstName,LastName,BloodGroup,Gender,Birthday,MotherTongue,Religion,Caste,Phone,City,State,PresentAddress,PermanentAddress,CategoryID,Roll,AdmissionDate,StudentEmail,StudentPassword,GuardianName,GuardianRelation,FatherName,MotherName,GuardianOccupation,GuardianMobileNo,GuardianAddress,GuardianEmail,GuardianPassword
Amalee,Blatcher,AB-,Female,"error: invalid date ""1900-01-01""",Hebrew,Hinduism,car,572-893-5029,Straszydle,,290 Lyons Plaza,0021 Oak Valley Street,2,882,"error: invalid date ""1900-01-01""",ablatcher0@washingtonpost.com,LDsQgRdbS,Amalee Blatcher,Guardian,Amalee Blatcher,Amalee Blatcher,Structural Analysis Engineer,362-597-4546,6 Ludington Road,ablatcher0@amazon.de,yAlNeKlKfn
Lynnelle,Arrow,B+,Female,"error: invalid date ""1900-01-01""",German,Islam,bike,361-152-1491,Shanjiao,,429 Bartillon Terrace,480 Clarendon Parkway,2,649,"error: invalid date ""1900-01-01""",larrow1@businesswire.com,FEp2ACGV,Lynnelle Arrow,Guardian,Lynnelle Arrow,Lynnelle Arrow,Chemical Engineer,353-501-4781,9638 Colorado Terrace,larrow1@acquirethisname.com,iDHkXs6WPU
Verne,Phette,O-,Male,"error: invalid date ""1900-01-01""",Hiri Motu,Judaism,bike,744-277-1073,Villa Nueva,,12674 Mockingbird Court,420 American Circle,1,751,"error: invalid date ""1900-01-01""",vphette2@issuu.com,JtdIQSn6LF,Verne Phette,Grandparent,Verne Phette,Verne Phette,Environmental Tech,986-704-5756,1284 Dixon Pass,vphette2@vkontakte.ru,MXbwdFK1z
Kirstyn,Ireson,O-,Female,"error: invalid date ""1900-01-01""",Kurdish,Christianity,airplane,577-324-0411,Kumo,,21762 Dunning Pass,54534 Sundown Parkway,1,5,"error: invalid date ""1900-01-01""",kireson3@tumblr.com,4SswKBmlX2,Kirstyn Ireson,Guardian,Kirstyn Ireson,Kirstyn Ireson,Programmer Analyst III,851-177-8878,7 Leroy Drive,kireson3@noaa.gov,qcwD9THSX
Charlene,Benny,A+,Female,"error: invalid date ""1900-01-01""",Oriya,Hinduism,airplane,975-484-6124,Airmata,,42 Bunting Lane,4 Loomis Way,2,479,"error: invalid date ""1900-01-01""",cbenny4@cdc.gov,gSdxHwU,Charlene Benny,Sibling,Charlene Benny,Charlene Benny,Desktop Support Technician,776-971-6804,31 Pond Avenue,cbenny4@joomla.org,t9G63Q71UW
Jude,Hubber,O+,Male,"error: invalid date ""1900-01-01""",Norwegian,Sikhism,bus,203-166-0012,Yi’an,,76 Sycamore Plaza,380 Harbort Center,3,801,"error: invalid date ""1900-01-01""",jhubber5@reverbnation.com,CJGWcBb2V6nH,Jude Hubber,Mother,Jude Hubber,Jude Hubber,Nurse,312-869-3566,8539 Mesta Park,jhubber5@imgur.com,Qfuqi9L5Yzx
Ardath,Rahill,O+,Female,"error: invalid date ""1900-01-01""",Czech,Sikhism,bus,635-976-2341,Hova,Västra Götaland,9 Debra Circle,177 Morning Pass,2,146,"error: invalid date ""1900-01-01""",arahill6@jalbum.net,qoxfBe6Bf28n,Ardath Rahill,Mother,Ardath Rahill,Ardath Rahill,Human Resources Assistant III,479-326-5390,20030 Service Avenue,arahill6@soup.io,ahjUK0B1N
Dew,Henrys,A+,Male,"error: invalid date ""1900-01-01""",Kashmiri,Christianity,train,116-173-7156,Novonikol’sk,,7971 Crescent Oaks Drive,818 Bashford Center,3,675,"error: invalid date ""1900-01-01""",dhenrys7@github.com,54Ag5zE8T,Dew Henrys,Grandparent,Dew Henrys,Dew Henrys,Desktop Support Technician,271-385-6010,455 Schiller Way,dhenrys7@aboutads.info,LIXSzb
Valentijn,Dunning,AB-,Male,"error: invalid date ""1900-01-01""",Georgian,Islam,airplane,274-630-7386,Cerro Punta,,4 Warner Avenue,9 Eastwood Hill,2,882,"error: invalid date ""1900-01-01""",vdunning8@blinklist.com,DpMNZeL,Valentijn Dunning,Sibling,Valentijn Dunning,Valentijn Dunning,Actuary,759-818-9399,11672 Portage Avenue,vdunning8@mtv.com,RZtRyLKL08
Jose,Rickerby,O-,Male,"error: invalid date ""1900-01-01""",Fijian,Sikhism,airplane,838-457-8118,Paagahan,,4 Express Park,5 Schmedeman Center,1,384,"error: invalid date ""1900-01-01""",jrickerby9@google.ru,SOcxtsHOHE,Jose Rickerby,Guardian,Jose Rickerby,Jose Rickerby,Account Representative I,784-774-4267,7 Cascade Junction,jrickerby9@fc2.com,8PwLMXvKKi
